"x","y","z"
2.073994, 0.876045 , 0.876045
2.077146, 0.874521 , 0.874521
2.080298, 0.872988 , 0.872988
2.083450, 0.871446 , 0.871446
2.086602, 0.869896 , 0.869896
2.089754, 0.868337 , 0.868337
2.092906, 0.866769 , 0.866769
2.096058, 0.865193 , 0.865193
2.099210, 0.863608 , 0.863608
2.102362, 0.862015 , 0.862015
2.105514, 0.860413 , 0.860413
2.108666, 0.858802 , 0.858802
2.111818, 0.857183 , 0.857183
2.114970, 0.855555 , 0.855555
2.118122, 0.853919 , 0.853919
2.121274, 0.852275 , 0.852275
2.124426, 0.850622 , 0.850622
2.127578, 0.848960 , 0.848960
2.130730, 0.847291 , 0.847291
2.133882, 0.845612 , 0.845612
2.137034, 0.843925 , 0.843925
2.140186, 0.842230 , 0.842230
2.143338, 0.840527 , 0.840527
2.146490, 0.838815 , 0.838815
2.149641, 0.837095 , 0.837095
2.152793, 0.835367 , 0.835367
2.155945, 0.833630 , 0.833630
2.159097, 0.831885 , 0.831885
2.162249, 0.830131 , 0.830131
2.165401, 0.828370 , 0.828370
2.168553, 0.826600 , 0.826600
2.171705, 0.824822 , 0.824822
2.174857, 0.823036 , 0.823036
2.178009, 0.821241 , 0.821241
2.181161, 0.819439 , 0.819439
2.184313, 0.817628 , 0.817628
2.187465, 0.815809 , 0.815809
2.190617, 0.813983 , 0.813983
2.193769, 0.812148 , 0.812148
2.196921, 0.810305 , 0.810305
2.200073, 0.808453 , 0.808453
2.203225, 0.806594 , 0.806594
2.206377, 0.804727 , 0.804727
2.209529, 0.802852 , 0.802852
2.212681, 0.800969 , 0.800969
2.215833, 0.799078 , 0.799078
2.218985, 0.797179 , 0.797179
2.222137, 0.795272 , 0.795272
2.225289, 0.793357 , 0.793357
2.228441, 0.791434 , 0.791434
2.231593, 0.789504 , 0.789504
2.234745, 0.787565 , 0.787565
2.237897, 0.785619 , 0.785619
2.241049, 0.783665 , 0.783665
2.244201, 0.781703 , 0.781703
2.247352, 0.779734 , 0.779734
2.250504, 0.777756 , 0.777756
2.253656, 0.775771 , 0.775771
2.256808, 0.773778 , 0.773778
2.259960, 0.771778 , 0.771778
2.263112, 0.769770 , 0.769770
2.266264, 0.767754 , 0.767754
2.269416, 0.765731 , 0.765731
2.272568, 0.763700 , 0.763700
2.275720, 0.761661 , 0.761661
2.278872, 0.759615 , 0.759615
2.282024, 0.757561 , 0.757561
2.285176, 0.755500 , 0.755500
2.288328, 0.753431 , 0.753431
2.291480, 0.751355 , 0.751355
2.294632, 0.749271 , 0.749271
2.297784, 0.747180 , 0.747180
2.300936, 0.745081 , 0.745081
